,occupation,State,city,Salary,cpi_index,cpi_single,cpi_family,quality_of_life_index,rent_single,rent_family,groceries_single,groceries_family
0,"Data Scientist, IT",California,Cupertino,125000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Data Scientist, IT",California,Irvine,85295.36,83.72353381436591,1638.7542167621095,4771.797692689641,200.86540086936301,1650.7586515809674,3093.8911457576833,253.88213023137186,1269.3927525964425
2,"Data Scientist, IT",California,Los Angeles,86269.74,82.33177383965034,1611.5127420730119,4692.474750458719,136.54255609911996,1716.2748090474227,3216.683087084419,234.684622951686,1173.4065696124644
3,"Data Scientist, IT",California,Menlo Park,86400.0,0.0,0.0,0.0,0.0,2696.379859431774,5053.619294804668,0.0,0.0
4,"Data Scientist, IT",California,Mountain View,103042.0,0.0,0.0,0.0,0.0,2167.5028292255215,4062.3853797907227,0.0,0.0
5,"Data Scientist, IT",California,Palo Alto,114109.51,0.0,0.0,0.0,0.0,2696.379859431774,5053.619294804668,0.0,0.0
6,"Data Scientist, IT",California,San Diego,91324.0,76.92821728156909,1505.7467681390644,4384.500665497846,184.8948423381148,1541.7424498623127,2889.570386379288,213.01000018811092,1065.0349838444154
7,"Data Scientist, IT",California,San Francisco,114060.42,97.92630292869973,1916.7506977446112,5581.280257530362,152.96792555931125,2873.9198765088645,5386.369019500287,305.0197561613845,1525.0772770700153
8,"Data Scientist, IT",California,San Jose,117109.79,82.95421447635016,1623.6960216313921,4727.9505678152345,177.0611949689724,2038.0902202313612,3819.8371885496995,242.2763984755426,1211.3649120154532
9,"Data Scientist, IT",California,San Mateo,104804.68,91.32395014424984,1787.5202057534595,5204.9811412864765,0.0,2079.774529672007,3897.962913210856,269.9161981911149,1349.561962001562
10,"Data Scientist, IT",California,Santa Clara,109926.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,"Data Scientist, IT",California,Santa Monica,88988.76,78.14769167305866,1529.6160281934463,4454.004242598477,0.0,2471.681537812459,4632.484353570944,218.45610684312564,1092.2651331717534
12,"Data Scientist, IT",California,Sunnyvale,98263.52,0.0,0.0,0.0,0.0,2167.5028292255215,4062.3853797907227,0.0,0.0
13,"Data Scientist, IT",Colorado,Boulder,72851.03,82.18904895599125,1608.7191308351992,4684.3401885320345,204.01890576061604,1340.2654917536552,2511.957477205937,244.60929023143845,1223.0292063272561
14,"Data Scientist, IT",Colorado,Denver,79984.8,76.77346573117886,1502.7177541426563,4375.68064730882,157.6460627866741,1361.4399606130778,2551.643170603665,218.32668212798814,1091.618018720442
15,"Data Scientist, IT",District of Columbia,Washington,79280.37,91.93572924534763,1799.4948028108872,5239.849307619815,155.4901354976311,1826.009244355921,3422.349976947774,263.09678683707966,1315.4653859964005
16,"Data Scientist, IT",Georgia,Atlanta,87428.57,75.05273149115395,1469.0371345689525,4277.607915518872,157.11233045337897,1144.7781653914153,2145.5704783792276,212.77085539625926,1063.8392767447426
17,"Data Scientist, IT",Illinois,Chicago,79423.2,80.15198114672171,1568.8467877772425,4568.23811986306,148.8367693381787,1412.7053000543756,2647.7258896794,224.51066484588927,1122.537496342327
18,"Data Scientist, IT",Indiana,Indianapolis,64000.0,74.91281005980461,1466.2983964245796,4269.633135515546,145.53252648415742,889.581365911744,1667.2745642068658,209.70220066788303,1048.4962194414513
19,"Data Scientist, IT",Massachusetts,Boston,87729.95,87.22841964460643,1707.3567490717396,4971.55760911845,161.90510108975997,1961.1592380941456,3675.651311201233,252.4566771738377,1262.2655878024839
20,"Data Scientist, IT",Massachusetts,Cambridge,80000.0,82.24687429485185,1609.850969322853,4687.635926372793,173.421172927432,1169.2010009229723,2191.3443378910424,189.0798326987296,945.3858334620854
21,"Data Scientist, IT",Missouri,Kansas City,90000.0,69.0742529983926,1352.0179836387376,3936.8663273674865,179.69131013388244,730.6671212450619,1369.4337053762056,193.3972500682478,966.9726159339588
22,"Data Scientist, IT",Missouri,St. Louis,88982.67,70.75763372615465,1384.9674679755155,4032.810106932067,172.46451320485616,750.0090658087988,1405.6848381327536,202.35415505260042,1011.7565093984985
23,"Data Scientist, IT",Minnesota,Minneapolis,85134.35,81.46918023556803,1594.628852422867,4643.31148677213,175.75489330557332,1141.5622931724565,2139.543214142511,248.16252836445784,1240.7951464908806
24,"Data Scientist, IT",North Carolina,Charlotte,82500.0,75.34894416597277,1474.8350237382513,4294.490468056368,165.3479016048158,1012.0375859517342,1896.784925737809,225.24572227488883,1126.2127316661517
25,"Data Scientist, IT",North Carolina,Raleigh,90141.22,71.39752169845075,1397.4922512124558,4069.280329946691,198.49493389990846,932.3308966896524,1747.3967520460121,222.18489376272106,1110.9088048921585
26,"Data Scientist, IT",New York,New York,99199.95,100.0,1957.34,5699.47,130.8182900418326,2491.29,4669.235000000001,283.69,1418.43
27,"Data Scientist, IT",Ohio,Cincinnati,77425.48,69.12390898299181,1352.9899200876919,3939.6964553129237,167.97580745117938,775.113945782077,1452.7370015669703,174.75593205141087,873.7673400531662
28,"Data Scientist, IT",Ohio,Cleveland,65597.65,73.46564554578923,1437.9724665259507,4187.152428188593,167.2792153083481,706.1867598882241,1323.5520295937818,191.5441761495894,957.7073769814307
29,"Data Scientist, IT",Oregon,Portland,75000.0,78.46366523796662,1535.8007051688157,4472.0130611383365,178.824175564673,1288.508095120004,2414.952532831446,225.71474735712482,1128.5578240113032
30,"Data Scientist, IT",Pennsylvania,Philadelphia,88497.18,83.45193200809103,1633.438045967169,4756.317829221546,150.22925954459964,1198.1354837407362,2245.5740341044907,233.29681455364764,1166.4676254620551
31,"Data Scientist, IT",Texas,Austin,82171.52,72.4565460408354,1418.2209582756875,4129.639104633602,180.168104619834,1240.7776187764016,2325.494938287968,207.16325806927063,1035.8016854425448
32,"Data Scientist, IT",Texas,Dallas,77669.8,65.96849483906279,1291.2277368829116,3759.854572803932,186.9013197619921,1074.9756501807942,2014.7449433714748,175.74205587143868,878.6978896320801
33,"Data Scientist, IT",Texas,Houston,91116.75,70.18632800409614,1373.7850725553753,4000.2487086950587,159.96088140636257,1095.413229410489,2053.0495406903597,201.65016614391004,1008.2366144859047
34,"Data Scientist, IT",Tennessee,Nashville,68261.47,71.87237374130194,1406.7867201879994,4096.344379673382,168.06786217291364,1189.0021187520488,2228.456064107841,210.72524643443967,1053.611376150031
35,"Data Scientist, IT",Texas,Plano,85000.0,75.32185929618252,1474.304880747899,4292.946774028134,196.21643314404548,997.0289075464946,1868.6553035286365,209.74030725706842,1048.6867497008832
36,"Data Scientist, IT",Utah,Salt Lake City,73614.13,66.75488100585612,1306.619987880024,3804.674416464468,161.84682428013568,869.7378260872212,1630.0833296767403,182.91032272449846,914.5387185382297
37,"Data Scientist, IT",Virginia,McLean,99192.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,"Data Scientist, IT",Virginia,Reston,93477.83,0.0,0.0,0.0,0.0,1421.5720525569814,2664.344168210404,378.48531837262783,1892.3999088416458
39,"Data Scientist, IT",Virginia,Richmond,95000.0,70.97988511490105,1389.3176833080042,4045.477258158251,176.7975375256118,901.3495335238268,1689.3307439772673,220.31348362916373,1101.5518861578298
40,"Data Scientist, IT",Washington,Bellevue,111968.75,90.77568181857393,1776.788730507675,5173.7327525450755,0.0,1660.9265034122393,3112.947975611048,262.3339033632332,1311.6510224100634
41,"Data Scientist, IT",Washington,Seattle,100529.55,87.93114917469471,1721.1115552559695,5011.609467866973,173.9173530919743,1604.6581423884395,3007.488474434966,254.8883315360352,1274.4236881830816
